vgs,vsb,vds,total_fins,length,gm,cdd,vth,gds,id,cds,cgg,cgd,cgs,
720e-3,0,0,20,14e-9,0,444.645e-18,306.421e-3,7.2443e-3,-62.2897e-12,-151.252e-18,1.3088e-15,549.423e-18,549.423e-18,
740e-3,0,0,20,14e-9,0,449.134e-18,306.421e-3,7.5040e-3,-72.2839e-12,-153.545e-18,1.3224e-15,556.205e-18,556.205e-18,
760e-3,0,0,20,14e-9,0,453.363e-18,306.421e-3,7.7566e-3,-83.7164e-12,-155.667e-18,1.3351e-15,562.555e-18,562.555e-18,
780e-3,0,0,20,14e-9,0,457.347e-18,306.421e-3,8.0021e-3,-96.7796e-12,-157.628e-18,1.347e-15,568.5e-18,568.5e-18,
800e-3,0,0,20,14e-9,0,461.099e-18,306.421e-3,8.2409e-3,-111.69e-12,-159.44e-18,1.3581e-15,574.064e-18,574.064e-18,
0,0,0,40,14e-9,0,275.649e-18,309.595e-3,444.7e-9,31.5089e-54,-47.9973e-21,816.562e-18,198.281e-18,198.281e-18,
20e-3,0,0,40,14e-9,0,281.129e-18,309.595e-3,817.191e-9,-7.1503e-15,-88.6506e-21,827.603e-18,203.801e-18,203.801e-18,
40e-3,0,0,40,14e-9,0,286.533e-18,309.595e-3,1.5013e-6,-7.9701e-15,-163.682e-21,838.56e-18,209.28e-18,209.28e-18,
60e-3,0,0,40,14e-9,0,291.85e-18,309.595e-3,2.7570e-6,-5.1361e-15,-302e-21,849.47e-18,214.735e-18,214.735e-18,
80e-3,0,0,40,14e-9,0,297.124e-18,309.595e-3,5.0591e-6,-13.091e-15,-556.418e-21,860.528e-18,220.264e-18,220.264e-18,
